"Humidity","Temperature","Air_Pressure","Precipitation"
"79","29.1","100.9","Light_Rain"
"82","28.6","100.85","Heavy_Rain"
"83","26.9","100.86","Moderate_Rain"
"75","29.5","100.81","Light_Rain"
"84","27.5","100.89","Light_Rain"
"88","26.7","100.92","Heavy_Rain"
"82","26.8","100.94","Light_Rain"
"87","24.8","101.11","Heavy_Rain"
"82","27.4","101.12","Light_Rain"
"88","26.5","101.14","Light_Rain"
"81","27.7","101.11","Light_Rain"
"86","26.2","101.1","Heavy_Rain"
"82","27.9","101","Light_Rain"
"86","26.4","101.08","Heavy_Rain"
"82","28","100.99","Light_Rain"
"83","28","100.89","Light_Rain"
"83","28","100.85","Light_Rain"
"81","28.7","100.94","Light_Rain"
"75","28.9","100.91","Light_Rain"
"72","29.4","100.86","Light_Rain"
"77","29.1","100.83","Moderate_Rain"
"86","27.2","100.76","Heavy_Rain"
"90","25.5","100.89","Light_Rain"
"83","27.7","100.97","Light_Rain"
"88","26.4","101.06","Moderate_Rain"
"88","26","101.05","Light_Rain"
"80","26.9","100.98","Heavy_Rain"
"83","26.7","101.09","Moderate_Rain"
"80","28.1","101.12","Light_Rain"
"84","27.2","101.15","Moderate_Rain"
"88","26.3","101.16","Heavy_Rain"
"84","26.5","101.12","Light_Rain"
"81","27.4","101.08","Light_Rain"
"84","27.1","101.1","Light_Rain"
"81","26.9","101.19","Light_Rain"
"78","27.1","101.15","Light_Rain"
"86","26.1","101.09","Light_Rain"
"80","27.7","101.06","Light_Rain"
"80","27.6","101.04","Light_Rain"
"81","28","101.07","Light_Rain"
"79","28.4","101.09","Light_Rain"
"79","28.6","101.1","Light_Rain"
"79","28.9","101.05","Light_Rain"
"85","27.8","101.03","Light_Rain"
"81","28.2","101.03","Light_Rain"
"80","27.6","100.96","Light_Rain"
"76","28.6","100.86","Light_Rain"
"82","27.5","100.82","Light_Rain"
"83","27.5","100.87","Light_Rain"
"84","27.5","100.81","Light_Rain"
"81","28.3","100.8","Light_Rain"
"81","28.4","100.83","Light_Rain"
"85","27.8","100.83","Light_Rain"
"86","27.2","100.89","Light_Rain"
"93","26.1","101.03","Heavy_Rain"
"88","26.8","101.04","Heavy_Rain"
"87","27.3","100.92","Light_Rain"
"84","27.8","100.89","Light_Rain"
"87","27","100.9","Moderate_Rain"
"90","26.4","101","Moderate_Rain"
"87","26.7","101.02","Light_Rain"
"85","27.4","100.98","Light_Rain"
"85","27","101","Light_Rain"
"87","27.1","100.96","Heavy_Rain"
"90","26.5","100.95","Light_Rain"
"90","26","101","Heavy_Rain"
"90","25.2","101.13","Moderate_Rain"
"83","27.2","101.06","Light_Rain"
"81","28","100.99","Heavy_Rain"
"86","26.4","101.11","Light_Rain"
"81","27.3","101.09","Light_Rain"
"81","27.2","101.02","Light_Rain"
"74","28.1","100.94","Light_Rain"
"80","27.3","101.01","Light_Rain"
"78","28.4","100.99","Light_Rain"
"73","29","100.95","Light_Rain"
"76","27.5","101.04","Light_Rain"
"85","27","101.12","Light_Rain"
"86","26.5","101.07","Moderate_Rain"
"83","27.5","101","Moderate_Rain"
"79","28.5","101.02","Light_Rain"
"78","28.4","101.06","Light_Rain"
"83","27.8","101.01","Heavy_Rain"
"84","27.7","101","Light_Rain"
"89","26.7","101.02","Heavy_Rain"
"87","26.9","100.99","Moderate_Rain"
"84","27.4","100.97","Light_Rain"
"87","27","100.97","Moderate_Rain"
"94","25.8","100.89","Heavy_Rain"
"95","25.3","100.94","Moderate_Rain"
"87","26.5","100.98","Light_Rain"
"86","27.1","100.99","Light_Rain"
"82","27.1","100.98","Light_Rain"
"80","27.7","100.94","Light_Rain"
"82","27.7","100.98","Moderate_Rain"
"78","27.7","101.03","Light_Rain"
"74","27.9","101.13","Light_Rain"
"77","27.4","101.24","Light_Rain"
"81","27.1","101.32","Light_Rain"
"90","25.6","101.26","Heavy_Rain"
"96","24.6","101.17","Heavy_Rain"
"96","24.4","101.08","Heavy_Rain"
"90","26","100.96","Heavy_Rain"
"89","26.2","100.89","Heavy_Rain"
"92","25.7","100.88","Moderate_Rain"
"92","25.7","100.94","Light_Rain"
"96","24.9","101.04","Heavy_Rain"
"88","26.2","100.97","Light_Rain"
"83","27","100.96","Moderate_Rain"
"93","25.9","100.97","Heavy_Rain"
"95","24.9","101.03","Heavy_Rain"
"91","25.4","101.05","Moderate_Rain"
"88","26.3","101.02","Moderate_Rain"
"93","25.6","101.01","Light_Rain"
"89","26.3","101.01","Light_Rain"
"88","26.5","101","Light_Rain"
"85","26.8","101.04","Light_Rain"
"81","26.5","101.12","Light_Rain"
"77","26.3","101.07","Light_Rain"
"78","26.6","101.07","Light_Rain"
"82","26.9","101.11","Light_Rain"
"80","27","101.1","Light_Rain"
"81","26.9","101.06","Light_Rain"
"81","27.4","101.09","Light_Rain"
"82","27.5","101.05","Light_Rain"
"84","26.9","101","Light_Rain"
"89","26.3","100.96","Moderate_Rain"
"85","27.2","100.89","Light_Rain"
"85","26.9","101","Light_Rain"
"81","27.7","101.02","Light_Rain"
"82","27.1","100.98","Light_Rain"
"77","27.2","100.98","Light_Rain"
"75","27.1","101.04","Light_Rain"
"78","27.1","101.02","Light_Rain"
"76","27.2","101.04","Light_Rain"
"80","27.4","101.02","Light_Rain"
"81","27.2","101.07","Light_Rain"
"77","27.7","101.07","Light_Rain"
"79","28","101.04","Moderate_Rain"
"93","25.8","101.06","Heavy_Rain"
"90","26.4","101.16","Moderate_Rain"
"90","26.4","101.15","Heavy_Rain"
"83","27.5","101.15","Light_Rain"
"83","27.3","101.12","Light_Rain"
"84","26.9","101.07","Light_Rain"
"84","27.1","101.1","Light_Rain"
"92","25.7","101.14","Light_Rain"
"84","26.6","101.06","Light_Rain"
"82","26.9","101.01","Light_Rain"
"83","26.9","100.93","Light_Rain"
"93","25.2","100.99","Heavy_Rain"
"86","26.6","101.02","Light_Rain"
"85","26.6","101.01","Moderate_Rain"
"91","25","100.95","Heavy_Rain"
"91","24.5","100.98","Moderate_Rain"
"85","26.2","100.94","Light_Rain"
"87","26.2","101.03","Light_Rain"
"80","27","101.01","Light_Rain"
"80","27.1","101.02","Light_Rain"
"85","26.6","101.07","Light_Rain"
"82","27","101.1","Light_Rain"
"82","27","101.11","Light_Rain"
"84","26.8","101.12","Light_Rain"
"88","26.1","101.1","Moderate_Rain"
"80","27.1","101.11","Light_Rain"
"81","27.1","101.14","Light_Rain"
"79","27.1","101.03","Light_Rain"
"83","26.5","100.95","Light_Rain"
"83","26.4","100.98","Light_Rain"
"80","27.1","100.97","Light_Rain"
"83","26.6","101.03","Moderate_Rain"
"84","27.4","100.91","Light_Rain"
"85","27.4","100.86","Light_Rain"
"86","26.7","100.96","Heavy_Rain"
"82","27.5","101.02","Light_Rain"
"79","27.7","100.99","Light_Rain"
